Ticker,Name,Best Holding Period (days),Initial Investment,Final Investment,Total Profit/Loss,Return %,Number of Trades,Winning Trades,Losing Trades,Win Rate %,Avg Profit per Trade,Strong Buy Signals,Momentum Buy Signals,Data Points,Test Period
SUNPHARMA.NS,Sun Pharmaceutical,19,100000,100430.66056306784,430.66056306783867,0.4306605630678387,19,10,9,52.63157894736842,22.66634542462309,1,18,927,2022-01-03 to 2025-10-01
INFY.NS,Infosys,14,100000,100428.42516301834,428.4251630183426,0.42842516301834255,20,10,10,50.0,21.42125815091713,5,15,927,2022-01-03 to 2025-10-01
ICICIBANK.NS,ICICI Bank,25,100000,100383.47126336761,383.47126336760994,0.38347126336760995,15,9,6,60.0,25.564750891173997,1,14,927,2022-01-03 to 2025-10-01
HINDALCO.NS,Hindalco Industries,14,100000,100288.14112185338,288.1411218533758,0.2881411218533758,21,14,7,66.66666666666666,13.721005802541706,3,18,926,2022-01-03 to 2025-10-01
SBIN.NS,State Bank of India,6,100000,100264.96354859343,264.9635485934268,0.2649635485934268,23,14,9,60.86956521739131,11.520154286670731,2,21,927,2022-01-03 to 2025-10-01
JSWSTEEL.NS,JSW Steel,16,100000,100263.49313351228,263.49313351228193,0.26349313351228193,16,12,4,75.0,16.46832084451762,1,15,926,2022-01-03 to 2025-10-01
NESTLEIND.NS,Nestle India,1,100000,100259.70775331701,259.7077533170086,0.25970775331700857,13,13,0,100.0,19.97751948592374,2,11,927,2022-01-03 to 2025-10-01
BAJFINANCE.NS,Bajaj Finance,1,100000,100224.7919283772,224.7919283772062,0.22479192837720618,18,16,2,88.88888888888889,12.488440465400345,3,15,927,2022-01-03 to 2025-10-01
DRREDDY.NS,Dr. Reddy's Laboratories,7,100000,100204.65648860282,204.6564886028209,0.2046564886028209,13,9,4,69.23076923076923,15.742806815601607,3,10,926,2022-01-03 to 2025-10-01
COALINDIA.NS,Coal India,3,100000,100188.42517844628,188.4251784462831,0.1884251784462831,26,19,7,73.07692307692307,7.247122247933965,1,25,926,2022-01-03 to 2025-10-01
HDFCLIFE.NS,HDFC Life Insurance,1,100000,100186.12879216806,186.12879216806323,0.18612879216806322,17,13,4,76.47058823529412,10.948752480474308,2,15,925,2022-01-03 to 2025-10-01
ITC.NS,ITC Limited,30,100000,100137.20334076122,137.203340761218,0.13720334076121798,14,11,3,78.57142857142857,9.800238625801285,3,11,927,2022-01-03 to 2025-10-01
WIPRO.NS,Wipro,11,100000,100133.76745276563,133.76745276563452,0.1337674527656345,19,15,4,78.94736842105263,7.040392250822869,7,12,927,2022-01-03 to 2025-10-01
HDFCBANK.NS,HDFC Bank,6,100000,100133.38995018358,133.389950183584,0.133389950183584,12,8,4,66.66666666666666,11.115829181965333,2,10,927,2022-01-03 to 2025-10-01
POWERGRID.NS,Power Grid Corporation,20,100000,100132.33956036261,132.33956036261225,0.13233956036261224,17,12,5,70.58823529411765,7.784680021330132,1,16,925,2022-01-03 to 2025-10-01
NTPC.NS,NTPC,9,100000,100131.47289743002,131.4728974300233,0.1314728974300233,21,13,8,61.904761904761905,6.260614163334442,2,19,927,2022-01-03 to 2025-10-01
DABUR.NS,Dabur India,9,100000,100124.23381178708,124.23381178708223,0.12423381178708222,11,8,3,72.72727272727273,11.293982889734748,5,6,927,2022-01-03 to 2025-10-01
TATASTEEL.NS,Tata Steel,4,100000,100093.62387565065,93.62387565065,0.09362387565065,20,17,3,85.0,4.6811937825325005,1,19,927,2022-01-03 to 2025-10-01
IOC.NS,Indian Oil Corporation,2,100000,100066.1438257506,66.14382575059426,0.06614382575059427,17,15,2,88.23529411764706,3.8908132794467214,1,16,927,2022-01-03 to 2025-10-01
BPCL.NS,Bharat Petroleum,7,100000,100064.47933350276,64.47933350276435,0.06447933350276434,19,11,8,57.89473684210527,3.3936491317244393,2,17,927,2022-01-03 to 2025-10-01
ONGC.NS,Oil and Natural Gas Corporation,3,100000,100056.71586475027,56.71586475026561,0.05671586475026561,21,12,9,57.14285714285714,2.7007554642983624,2,19,926,2022-01-03 to 2025-10-01
