Date,Capital,Position,Position Value,Total Value
2023-07-26 00:00:00+05:30,2760.519422626021,EICHERMOT.NS,116592.9697265625,116592.9697265625
2023-07-27 00:00:00+05:30,2760.519422626021,EICHERMOT.NS,115697.7333984375,115697.7333984375
2023-07-28 00:00:00+05:30,2760.519422626021,EICHERMOT.NS,116646.85546875,116646.85546875
2023-07-31 00:00:00+05:30,2760.519422626021,EICHERMOT.NS,117004.9482421875,117004.9482421875
2023-08-01 00:00:00+05:30,2760.519422626021,EICHERMOT.NS,118757.14453125,118757.14453125
2023-08-02 00:00:00+05:30,2760.519422626021,EICHERMOT.NS,115864.6201171875,115864.6201171875
2023-08-03 00:00:00+05:30,2760.519422626021,EICHERMOT.NS,117498.62109375,117498.62109375
2023-08-04 00:00:00+05:30,2760.519422626021,EICHERMOT.NS,116798.0888671875,116798.0888671875
2023-08-07 00:00:00+05:30,2760.519422626021,EICHERMOT.NS,116669.4609375,116669.4609375
2023-08-08 00:00:00+05:30,2760.519422626021,EICHERMOT.NS,117230.923828125,117230.923828125
2023-08-09 00:00:00+05:30,2760.519422626021,EICHERMOT.NS,118642.4208984375,118642.4208984375
2023-08-10 00:00:00+05:30,2760.519422626021,EICHERMOT.NS,118715.4228515625,118715.4228515625
2023-08-11 00:00:00+05:30,2760.519422626021,EICHERMOT.NS,117828.8876953125,117828.8876953125
2023-08-14 00:00:00+05:30,2760.519422626021,EICHERMOT.NS,117354.3662109375,117354.3662109375
2023-08-16 00:00:00+05:30,2760.519422626021,EICHERMOT.NS,116950.1572265625,116950.1572265625
2023-08-17 00:00:00+05:30,2760.519422626021,EICHERMOT.NS,115939.599609375,115939.599609375
2023-08-18 00:00:00+05:30,2760.519422626021,EICHERMOT.NS,117737.5078125,117737.5078125
2023-08-21 00:00:00+05:30,2760.519422626021,EICHERMOT.NS,118298.14453125,118298.14453125
2023-08-22 00:00:00+05:30,2760.519422626021,EICHERMOT.NS,117519.57421875,117519.57421875
2023-08-23 00:00:00+05:30,2760.519422626021,EICHERMOT.NS,118032.767578125,118032.767578125
2023-08-24 00:00:00+05:30,2760.519422626021,EICHERMOT.NS,117458.0595703125,117458.0595703125
2023-08-25 00:00:00+05:30,2760.519422626021,EICHERMOT.NS,117440.4814453125,117440.4814453125
2023-08-28 00:00:00+05:30,2760.519422626021,EICHERMOT.NS,117693.5712890625,117693.5712890625
2023-08-29 00:00:00+05:30,2760.519422626021,EICHERMOT.NS,117939.62109375,117939.62109375
2023-08-30 00:00:00+05:30,2760.519422626021,EICHERMOT.NS,119711.162109375,119711.162109375
2023-08-31 00:00:00+05:30,2760.519422626021,EICHERMOT.NS,117280.564453125,117280.564453125
2023-09-01 00:00:00+05:30,2760.519422626021,EICHERMOT.NS,119523.111328125,119523.111328125
2023-09-04 00:00:00+05:30,120477.17631701111,,0.0,120477.17631701111
2023-09-05 00:00:00+05:30,2094.5053284942696,,0.0,2094.5053284942696
2023-09-06 00:00:00+05:30,2094.5053284942696,HINDUNILVR.NS,119395.16333007812,119395.16333007812
2023-09-07 00:00:00+05:30,2094.5053284942696,HINDUNILVR.NS,118635.794921875,118635.794921875
2023-09-08 00:00:00+05:30,2094.5053284942696,HINDUNILVR.NS,118936.24291992188,118936.24291992188
2023-09-11 00:00:00+05:30,2094.5053284942696,HINDUNILVR.NS,119998.416015625,119998.416015625
2023-09-12 00:00:00+05:30,2094.5053284942696,HINDUNILVR.NS,118228.9130859375,118228.9130859375
2023-09-13 00:00:00+05:30,2094.5053284942696,HINDUNILVR.NS,118593.21899414062,118593.21899414062
2023-09-14 00:00:00+05:30,2094.5053284942696,HINDUNILVR.NS,118321.15893554688,118321.15893554688
2023-09-15 00:00:00+05:30,2094.5053284942696,HINDUNILVR.NS,116849.71142578125,116849.71142578125
2023-09-18 00:00:00+05:30,2094.5053284942696,HINDUNILVR.NS,117746.29418945312,117746.29418945312
2023-09-20 00:00:00+05:30,2094.5053284942696,HINDUNILVR.NS,116714.87768554688,116714.87768554688
2023-09-21 00:00:00+05:30,2094.5053284942696,HINDUNILVR.NS,117022.40771484375,117022.40771484375
2023-09-22 00:00:00+05:30,2094.5053284942696,HINDUNILVR.NS,117452.96411132812,117452.96411132812
2023-09-25 00:00:00+05:30,2094.5053284942696,HINDUNILVR.NS,117140.70874023438,117140.70874023438
2023-09-26 00:00:00+05:30,2094.5053284942696,HINDUNILVR.NS,117287.36181640625,117287.36181640625
2023-09-27 00:00:00+05:30,2094.5053284942696,HINDUNILVR.NS,118366.103515625,118366.103515625
2023-09-28 00:00:00+05:30,2094.5053284942696,HINDUNILVR.NS,116407.33569335938,116407.33569335938
2023-09-29 00:00:00+05:30,2094.5053284942696,HINDUNILVR.NS,116655.7451171875,116655.7451171875
2023-10-03 00:00:00+05:30,2094.5053284942696,HINDUNILVR.NS,116811.84887695312,116811.84887695312
2023-10-04 00:00:00+05:30,2094.5053284942696,HINDUNILVR.NS,118654.73217773438,118654.73217773438
2023-10-05 00:00:00+05:30,2094.5053284942696,HINDUNILVR.NS,119208.27905273438,119208.27905273438
2023-10-06 00:00:00+05:30,2094.5053284942696,HINDUNILVR.NS,118254.93237304688,118254.93237304688
2023-10-09 00:00:00+05:30,2094.5053284942696,HINDUNILVR.NS,118817.95385742188,118817.95385742188
2023-10-10 00:00:00+05:30,2094.5053284942696,HINDUNILVR.NS,119049.78271484375,119049.78271484375
2023-10-11 00:00:00+05:30,2094.5053284942696,HINDUNILVR.NS,120951.77465820312,120951.77465820312
2023-10-12 00:00:00+05:30,2094.5053284942696,HINDUNILVR.NS,120980.16259765625,120980.16259765625
2023-10-13 00:00:00+05:30,2094.5053284942696,HINDUNILVR.NS,121569.20336914062,121569.20336914062
2023-10-16 00:00:00+05:30,2094.5053284942696,HINDUNILVR.NS,121041.67578125,121041.67578125
2023-10-17 00:00:00+05:30,2094.5053284942696,HINDUNILVR.NS,120939.943359375,120939.943359375
2023-10-18 00:00:00+05:30,2094.5053284942696,HINDUNILVR.NS,120566.1748046875,120566.1748046875
2023-10-19 00:00:00+05:30,2094.5053284942696,HINDUNILVR.NS,120559.08081054688,120559.08081054688
2023-10-20 00:00:00+05:30,2094.5053284942696,HINDUNILVR.NS,118053.83618164062,118053.83618164062
2023-10-23 00:00:00+05:30,2094.5053284942696,HINDUNILVR.NS,117502.63403320312,117502.63403320312
2023-10-25 00:00:00+05:30,2094.5053284942696,HINDUNILVR.NS,117209.30395507812,117209.30395507812
2023-10-26 00:00:00+05:30,2094.5053284942696,HINDUNILVR.NS,117166.71606445312,117166.71606445312
2023-10-27 00:00:00+05:30,2094.5053284942696,HINDUNILVR.NS,117434.05078125,117434.05078125
2023-10-30 00:00:00+05:30,2094.5053284942696,HINDUNILVR.NS,117284.9931640625,117284.9931640625
2023-10-31 00:00:00+05:30,2094.5053284942696,HINDUNILVR.NS,117526.29663085938,117526.29663085938
2023-11-01 00:00:00+05:30,2094.5053284942696,HINDUNILVR.NS,116970.369140625,116970.369140625
2023-11-02 00:00:00+05:30,2094.5053284942696,HINDUNILVR.NS,118521.70483398438,118521.70483398438
2023-11-03 00:00:00+05:30,2094.5053284942696,HINDUNILVR.NS,119591.68969726562,119591.68969726562
2023-11-06 00:00:00+05:30,2094.5053284942696,HINDUNILVR.NS,119026.90966796875,119026.90966796875
2023-11-07 00:00:00+05:30,2094.5053284942696,HINDUNILVR.NS,118981.6181640625,118981.6181640625
2023-11-08 00:00:00+05:30,2094.5053284942696,HINDUNILVR.NS,120073.05249023438,120073.05249023438
2023-11-09 00:00:00+05:30,2094.5053284942696,HINDUNILVR.NS,118040.34204101562,118040.34204101562
2023-11-10 00:00:00+05:30,2094.5053284942696,HINDUNILVR.NS,118509.8017578125,118509.8017578125
2023-11-13 00:00:00+05:30,2094.5053284942696,HINDUNILVR.NS,118109.45166015625,118109.45166015625
2023-11-15 00:00:00+05:30,2094.5053284942696,HINDUNILVR.NS,118502.63598632812,118502.63598632812
2023-11-16 00:00:00+05:30,2094.5053284942696,HINDUNILVR.NS,118731.41430664062,118731.41430664062
2023-11-17 00:00:00+05:30,2094.5053284942696,HINDUNILVR.NS,120523.443359375,120523.443359375
2023-11-20 00:00:00+05:30,2094.5053284942696,HINDUNILVR.NS,119458.23168945312,119458.23168945312
2023-11-21 00:00:00+05:30,2094.5053284942696,HINDUNILVR.NS,119401.04907226562,119401.04907226562
2023-11-22 00:00:00+05:30,2094.5053284942696,HINDUNILVR.NS,120194.58349609375,120194.58349609375
2023-11-23 00:00:00+05:30,2094.5053284942696,HINDUNILVR.NS,120099.26318359375,120099.26318359375
2023-11-24 00:00:00+05:30,2094.5053284942696,HINDUNILVR.NS,119875.25805664062,119875.25805664062
2023-11-28 00:00:00+05:30,2094.5053284942696,HINDUNILVR.NS,119653.6455078125,119653.6455078125
2023-11-29 00:00:00+05:30,2094.5053284942696,HINDUNILVR.NS,120344.7177734375,120344.7177734375
2023-11-30 00:00:00+05:30,2094.5053284942696,HINDUNILVR.NS,121321.7509765625,121321.7509765625
2023-12-01 00:00:00+05:30,2094.5053284942696,HINDUNILVR.NS,122184.39501953125,122184.39501953125
2023-12-04 00:00:00+05:30,2094.5053284942696,HINDUNILVR.NS,124026.47680664062,124026.47680664062
2023-12-05 00:00:00+05:30,2094.5053284942696,HINDUNILVR.NS,122165.33813476562,122165.33813476562
2023-12-06 00:00:00+05:30,2094.5053284942696,HINDUNILVR.NS,122375.03564453125,122375.03564453125
2023-12-07 00:00:00+05:30,2094.5053284942696,HINDUNILVR.NS,120020.63110351562,120020.63110351562
2023-12-08 00:00:00+05:30,2094.5053284942696,HINDUNILVR.NS,120213.65234375,120213.65234375
2023-12-11 00:00:00+05:30,2094.5053284942696,HINDUNILVR.NS,119324.77368164062,119324.77368164062
2023-12-12 00:00:00+05:30,2094.5053284942696,HINDUNILVR.NS,119281.88671875,119281.88671875
2023-12-13 00:00:00+05:30,2094.5053284942696,HINDUNILVR.NS,119717.98193359375,119717.98193359375
2023-12-14 00:00:00+05:30,2094.5053284942696,HINDUNILVR.NS,119930.07202148438,119930.07202148438
2023-12-15 00:00:00+05:30,2094.5053284942696,HINDUNILVR.NS,120242.24365234375,120242.24365234375
2023-12-18 00:00:00+05:30,2094.5053284942696,HINDUNILVR.NS,120842.76879882812,120842.76879882812
2023-12-19 00:00:00+05:30,2094.5053284942696,HINDUNILVR.NS,122043.80712890625,122043.80712890625
2023-12-20 00:00:00+05:30,2094.5053284942696,HINDUNILVR.NS,121891.30419921875,121891.30419921875
2023-12-21 00:00:00+05:30,2094.5053284942696,HINDUNILVR.NS,121686.35595703125,121686.35595703125
2023-12-22 00:00:00+05:30,2094.5053284942696,HINDUNILVR.NS,122753.9482421875,122753.9482421875
2023-12-26 00:00:00+05:30,2094.5053284942696,HINDUNILVR.NS,123190.04345703125,123190.04345703125
2023-12-27 00:00:00+05:30,2094.5053284942696,HINDUNILVR.NS,124312.43774414062,124312.43774414062
2023-12-28 00:00:00+05:30,2094.5053284942696,HINDUNILVR.NS,125527.77172851562,125527.77172851562
2023-12-29 00:00:00+05:30,2094.5053284942696,HINDUNILVR.NS,126964.73022460938,126964.73022460938
2024-01-01 00:00:00+05:30,2094.5053284942696,HINDUNILVR.NS,126526.26635742188,126526.26635742188
2024-01-02 00:00:00+05:30,2094.5053284942696,HINDUNILVR.NS,124574.58056640625,124574.58056640625
2024-01-03 00:00:00+05:30,2094.5053284942696,HINDUNILVR.NS,124229.03247070312,124229.03247070312
