Symbol,Entry Date,Entry Price,Exit Date,Exit Price,Quantity,Capital Invested,Net Proceeds,PnL,PnL %,Exit Reason,Signal Strength,Days Held,Market Regime
COALINDIA.NS,2023-08-02 00:00:00+05:30,199.3662567138672,2023-08-28 00:00:00+05:30,198.44837951660156,192,38316.6507890625,38063.986778320315,-252.66401074218447,-0.6594104796192352,Max Hold Period,0.5395213275360132,26,bull
EICHERMOT.NS,2023-08-31 00:00:00+05:30,3257.79345703125,2023-10-05 00:00:00+05:30,3362.266357421875,11,35874.05752734375,36947.945001708984,1073.887474365234,2.9934932047948597,Max Hold Period,1.9862292615004047,35,bull
TITAN.NS,2023-08-31 00:00:00+05:30,3085.04052734375,2023-10-05 00:00:00+05:30,3196.39013671875,10,30883.7352734375,31931.937465820312,1048.2021923828106,3.3940266068928158,Max Hold Period,1.6845264176691817,35,bull
IOC.NS,2023-11-07 00:00:00+05:30,93.01177215576172,2023-12-14 00:00:00+05:30,106.96353797912597,411,38266.167856018066,43918.05209531135,5651.884239293286,14.769924860412754,Take Profit,3.5070258918725306,37,bull
MandM.NS,2024-02-16 00:00:00+05:30,1807.6846923828125,2024-03-22 00:00:00+05:30,1850.278076171875,21,37999.70804003906,38816.98376000977,817.2757199707048,2.150742103359236,Max Hold Period,5.32995779898684,35,bull
TITAN.NS,2024-03-27 00:00:00+05:30,3735.895751953125,2024-04-19 00:00:00+05:30,3623.818879394531,8,29920.496015625,28961.56048412109,-958.9355315039102,-3.204945302387826,Stop Loss,2.167092813698468,23,bull
RELIANCE.NS,2024-04-19 00:00:00+05:30,1459.323974609375,2024-05-13 00:00:00+05:30,1415.5442553710936,22,32138.45744140625,31110.8316445459,-1027.6257968603531,-3.1974957066121976,Stop Loss,0.4750011052029726,24,bull
DIVISLAB.NS,2024-04-19 00:00:00+05:30,3632.760498046875,2024-05-24 00:00:00+05:30,4068.6917578125003,9,32728.174482421877,36581.60759449219,3853.4331120703137,11.774054535611118,Take Profit,2.969822362771563,35,bull
ADANIENT.NS,2024-06-04 00:00:00+05:30,2938.561767578125,2024-07-01 00:00:00+05:30,3208.1381201171876,13,38239.632478515625,41664.089765961915,3424.45728744629,8.95525679900368,Trailing Stop,3.9207455527404833,27,bull
ONGC.NS,2024-07-08 00:00:00+05:30,282.59747314453125,2024-08-12 00:00:00+05:30,322.41522216796875,135,38188.98837451172,43482.528937683106,5293.5405631713875,13.861431759487058,Max Hold Period,2.7619082246798285,35,bull
BAJAJFINSV.NS,2024-08-27 00:00:00+05:30,1718.162841796875,2024-10-03 00:00:00+05:30,1912.46826171875,19,32678.423994140627,36300.56007568359,3622.1360815429653,11.08418227939153,Max Hold Period,2.4298800241562972,37,bull
DRREDDY.NS,2024-12-27 00:00:00+05:30,1380.693359375,2025-01-20 00:00:00+05:30,1339.2725585937499,24,33169.970625,32110.398864843748,-1059.5717601562537,-3.1943705110117313,Stop Loss,4.480915885070946,24,bull
BRITANNIA.NS,2025-01-24 00:00:00+05:30,5035.55859375,2025-02-06 00:00:00+05:30,4909.66962890625,7,35287.23965625,34333.319714941405,-953.9199413085953,-2.7032999764254417,Stop Loss,8.836374872816704,13,bull
HINDALCO.NS,2025-02-25 00:00:00+05:30,614.9403686523438,2025-03-21 00:00:00+05:30,688.733212890625,54,33240.109907226564,37154.40190259766,3914.2919953710953,11.775809425106951,Take Profit,1.3747876350781207,24,bull
ICICIBANK.NS,2025-03-21 00:00:00+05:30,1332.81591796875,2025-04-15 00:00:00+05:30,1339.8614501953125,28,37357.175203125,37478.60448486328,121.42928173828113,0.32504942110324053,Max Hold Period,2.9890963100259067,25,bull
ADANIPORTS.NS,2025-03-21 00:00:00+05:30,1183.0443115234375,2025-04-15 00:00:00+05:30,1204.9378662109375,28,33158.57072265625,33704.52199365234,545.9512709960909,1.6464861394736137,Max Hold Period,2.703797441244699,25,bull
ITC.NS,2025-04-21 00:00:00+05:30,415.1999206542969,2025-05-26 00:00:00+05:30,434.8871765136719,92,38236.72220019531,39969.61061901855,1732.8884188232405,4.532000441226076,Max Hold Period,1.1422298262261699,35,bull
JSWSTEEL.NS,2025-07-02 00:00:00+05:30,1057.0535888671875,2025-07-25 00:00:00+05:30,1030.6272491455077,36,38092.25869921875,37065.47838826904,-1026.7803109497108,-2.695509129708734,Stop Loss,2.7510776919411044,23,bull
GRASIM.NS,2025-08-21 00:00:00+05:30,2881.199951171875,2025-09-01 00:00:00+05:30,2809.169952392578,13,37493.928865234375,36482.69017172241,-1011.2386935119648,-2.697073163889259,Stop Loss,2.9550863794263025,11,bull
TATAMOTORS.NS,2025-09-08 00:00:00+05:30,719.5,2025-10-01 00:00:00+05:30,718.3499755859375,46,33130.33,33011.05477807617,-119.27522192383185,-0.3600182126885903,End of backtest,2.4518077101010154,23,bull
