Date,Action,Ticker,Reason,Price,Shares,Value,RS,Alphabetical Position,Return %,Entry Date,Days Held,RS at Exit
2022-10-03 00:00:00+05:30,SELL,ADANIENT.NS,Stop Loss,3152.83935546875,50,157641.9677734375,,,-9.029867142635046,2022-09-29 00:00:00+05:30,4.0,-5.655071828073754
2022-10-03 00:00:00+05:30,BUY,BHARTIARTL.NS,RS Signal,788.6519165039062,199,156941.73138427734,8.502153580751532,9.0,,,,
2022-10-14 00:00:00+05:30,SELL,BHARTIARTL.NS,RS Below Threshold,751.9362182617188,199,149635.30743408203,,,-4.655501048542199,2022-10-03 00:00:00+05:30,11.0,-2.4391706034375917
2022-10-14 00:00:00+05:30,BUY,CIPLA.NS,RS Signal,1081.36376953125,138,149228.2001953125,7.316366986123063,12.0,,,,
2022-11-21 00:00:00+05:30,SELL,CIPLA.NS,RS Below Threshold,1077.024169921875,138,148629.33544921875,,,-0.40130802710878055,2022-10-14 00:00:00+05:30,38.0,-2.8457135469997894
2022-11-21 00:00:00+05:30,BUY,ADANIENT.NS,RS Signal,3996.196044921875,37,147859.25366210938,19.205556957466744,1.0,,,,
2022-12-23 00:00:00+05:30,SELL,ADANIENT.NS,Stop Loss,3637.053955078125,37,134570.99633789062,,,-8.98709887619568,2022-11-21 00:00:00+05:30,32.0,-6.636595006495854
2022-12-27 00:00:00+05:30,BUY,HINDALCO.NS,RS Signal,461.8900451660156,290,133948.11309814453,8.039912315798468,22.0,,,,
2023-01-31 00:00:00+05:30,SELL,HINDALCO.NS,RS Below Threshold,459.34033203125,290,133208.6962890625,,,-0.5520173386393703,2022-12-27 00:00:00+05:30,35.0,-3.8291755391216404
2023-01-31 00:00:00+05:30,BUY,BAJAJ-AUTO.NS,RS Signal,3584.201904296875,37,132615.47045898438,6.835569661005405,6.0,,,,
2023-02-24 00:00:00+05:30,SELL,BAJAJ-AUTO.NS,RS Below Threshold,3613.958740234375,37,133716.47338867188,,,0.8302220893813597,2023-01-31 00:00:00+05:30,24.0,-2.2048668402204865
2023-02-24 00:00:00+05:30,BUY,APOLLOHOSP.NS,RS Signal,4439.59228515625,30,133187.7685546875,5.479029971370046,3.0,,,,
2023-03-16 00:00:00+05:30,SELL,APOLLOHOSP.NS,RS Below Threshold,4289.04541015625,30,128671.3623046875,,,-3.39100677112519,2023-02-24 00:00:00+05:30,20.0,-3.632342317188432
2023-03-16 00:00:00+05:30,BUY,ADANIPORTS.NS,RS Signal,668.9234008789062,191,127764.3695678711,19.427125491072967,2.0,,,,
