Trade #,Ticker,Name,Buy Date,Sell Date,Buy Price,Sell Price,Peak Price,Shares,Investment,Proceeds,Profit/Loss,Return %,Days Held,Exit Reason,Capital After Trade,RSI at Buy
11,WIPRO.NS,Wipro,2024-08-06 00:00:00+05:30,2024-08-29 00:00:00+05:30,233.95776138199156,259.00750732421875,259.00750732421875,368,86096.45618857289,95133.35147642861,9036.895287855717,10.496245360044371,23,Take Profit,95133.35147642861,27.58616706380849
12,ADANIENT.NS,Adani Enterprises,2024-08-30 00:00:00+05:30,2024-09-30 00:00:00+05:30,3001.7652820828534,3134.24755859375,3134.24755859375,31,93054.72374456846,96971.45791834527,3916.7341737768147,4.209065393099329,31,Max Hold Period,96971.45791834527,28.746530004771728
13,DABUR.NS,Dabur India,2024-10-01 00:00:00+05:30,2024-10-03 00:00:00+05:30,604.775314898021,586.6320554510803,604.775314898021,160,96764.05038368335,93670.50369291699,-3093.546690766365,-3.197000000000008,2,Stop Loss,93670.50369291699,24.575218531223157
14,INDUSINDBK.NS,IndusInd Bank,2024-10-04 00:00:00+05:30,2024-10-21 00:00:00+05:30,1380.8499755859375,1339.4244763183594,1380.8499755859375,67,92516.94836425781,89559.18152505248,-2957.766839205331,-3.1970000000000094,17,Stop Loss,89559.18152505248,27.023160221757834
15,IOC.NS,Indian Oil Corporation,2024-10-22 00:00:00+05:30,2024-10-25 00:00:00+05:30,151.5806808814322,147.0332604549892,151.5806808814322,590,89432.60172004499,86573.44144305514,-2859.1602769898454,-3.197000000000008,3,Stop Loss,86573.44144305514,20.584623654170073
16,ITC.NS,ITC Limited,2024-10-28 00:00:00+05:30,2024-11-21 00:00:00+05:30,460.1255293301254,446.3217634502216,475.1569213867187,188,86503.59951406358,83738.07943759896,-2765.5200764646142,-3.197000000000002,24,Stop Loss,83738.07943759896,33.02423404475721
17,NTPC.NS,NTPC,2024-11-22 00:00:00+05:30,2024-12-18 00:00:00+05:30,349.4094884483162,338.9272037948667,366.157958984375,239,83508.86773914758,80839.08923752702,-2669.77850162056,-3.197000000000014,26,Stop Loss,80839.08923752702,25.087536708503748
18,ONGC.NS,Oil and Natural Gas Corporation,2024-12-19 00:00:00+05:30,2025-01-07 00:00:00+05:30,232.67062730989792,256.99591064453125,256.99591064453125,347,80736.70767653458,89007.66670498216,8270.95902844757,10.244360051916573,19,Take Profit,89007.66670498216,23.243249947429277
19,POWERGRID.NS,Power Grid Corporation,2025-01-08 00:00:00+05:30,2025-01-13 00:00:00+05:30,298.20805425232334,289.26181262475365,300.4224548339844,298,88866.00016719235,86024.95414184722,-2841.046025345131,-3.1969999999999907,5,Stop Loss,86024.95414184722,23.663234032465624
20,SBIN.NS,State Bank of India,2025-01-14 00:00:00+05:30,2025-02-13 00:00:00+05:30,718.5224071080802,713.3267211914062,763.9110107421875,119,85504.16644586154,84715.4897755097,-788.676670351837,-0.9223839061119921,30,Max Hold Period,84715.4897755097,24.223181634509658
21,APOLLOHOSP.NS,Apollo Hospitals,2025-02-14 00:00:00+05:30,2025-03-17 00:00:00+05:30,6222.635476986802,6148.77978515625,6414.439453125,13,80894.26120082843,79773.30880862339,-1120.952392205043,-1.3857007599366806,31,Max Hold Period,79773.30880862339,31.18315358933272
22,BAJAJ-AUTO.NS,Bajaj Auto,2025-03-18 00:00:00+05:30,2025-03-28 00:00:00+05:30,7301.01318359375,7686.965346679687,7924.70654296875,10,73010.1318359375,76719.77368149413,3709.641845556631,5.0809959553184205,10,Trailing Stop,76719.77368149413,21.855750830345556
23,INDUSINDBK.NS,IndusInd Bank,2025-04-01 00:00:00+05:30,2025-04-04 00:00:00+05:30,646.8499755859375,688.1180236816406,709.4000244140625,118,76328.29711914062,81040.40057052001,4712.103451379386,6.173468594516496,3,Trailing Stop,81040.40057052001,26.341529649240954
24,INFY.NS,Infosys,2025-04-07 00:00:00+05:30,2025-04-21 00:00:00+05:30,1288.8655111580174,1430.8675537109375,1430.8675537109375,62,79909.66169179708,88545.16488005625,8635.503188259172,10.806582089616864,14,Take Profit,88545.16488005625,24.47173560279866
25,TATASTEEL.NS,Tata Steel,2025-04-22 00:00:00+05:30,2025-05-12 00:00:00+05:30,134.56193578295367,148.1744842529297,148.1744842529297,658,88541.75374518351,97312.77007404412,8771.016328860613,9.906079287861111,20,Take Profit,97312.77007404412,31.239146137959963
26,EICHERMOT.NS,Eicher Motors,2025-05-13 00:00:00+05:30,2025-06-12 00:00:00+05:30,5323.47300378659,5247.45849609375,5459.212890625,18,95822.51406815862,94263.97616268965,-1558.5379054689693,-1.626484047747255,30,Max Hold Period,94263.97616268965,31.750012983576383
27,HDFCLIFE.NS,HDFC Life Insurance,2025-06-13 00:00:00+05:30,2025-06-30 00:00:00+05:30,738.2095359236313,814.2999877929688,814.2999877929688,127,93752.61106230118,103218.92974019502,9466.31867789384,10.097125371370415,17,Take Profit,103218.92974019502,33.04185404984686
28,TATAMOTORS.NS,Tata Motors,2025-07-01 00:00:00+05:30,2025-07-31 00:00:00+05:30,680.4000244140625,665.9500122070312,700.5,151,102740.40368652344,100355.15298773194,-2385.2506987914967,-2.3216287003010603,30,Max Hold Period,100355.15298773194,23.163263336017636
29,TATASTEEL.NS,Tata Steel,2025-08-01 00:00:00+05:30,2025-09-01 00:00:00+05:30,152.50999450683594,156.1699981689453,161.9199981689453,658,100351.57638549805,102556.74735998535,2205.170974487308,2.1974452758133056,31,Max Hold Period,102556.74735998535,34.705619620709996
30,HDFCBANK.NS,HDFC Bank,2025-09-02 00:00:00+05:30,2025-10-01 00:00:00+05:30,944.0,965.25,976.9000244140624,108,101952.0,104040.801,2088.8010000000068,2.048808262711871,29,End of Period,104040.801,23.78481438262692
