Symbol,Entry Date,Entry Price,Exit Date,Exit Price,Quantity,Capital Invested,Gross Proceeds,Net Proceeds,PnL,PnL %,Exit Reason,Signal Strength (ROC),Days Held
ONGC.NS,2024-07-22 00:00:00+05:30,303.04949951171875,2024-08-05 00:00:00+05:30,309.926689453125,301,91309.32938377972,93287.93352539062,93194.64559186522,1885.3162080854963,2.0647574796671386,Trailing Stop,11.311587447289865,14
HDFCLIFE.NS,2024-08-05 00:00:00+05:30,708.9404296875,2024-08-06 00:00:00+05:30,680.5828124999999,131,92964.39093465437,89156.3484375,89067.1920890625,-3897.1988455918618,-4.192141535495288,Stop Loss,11.531214160118667,1
BPCL.NS,2024-08-06 00:00:00+05:30,313.3100280761719,2024-08-13 00:00:00+05:30,310.78692626953125,283,88755.8051376457,87952.70013427734,87864.74743414306,-891.0577035026363,-1.0039430120889017,ROC Reversal,9.379097104451832,7
TECHM.NS,2024-08-19 00:00:00+05:30,1552.0948486328125,2024-09-09 00:00:00+05:30,1539.2527734374999,56,87005.17627087164,86198.15531249999,86111.9571571875,-893.2191136841429,-1.0266275547828327,Trailing Stop,5.767071492231319,21
BAJAJFINSV.NS,2024-09-09 00:00:00+05:30,1859.5439453125,2024-10-03 00:00:00+05:30,1929.3319921875,46,85625.13344153219,88749.271640625,88660.52236898437,3035.388927452179,3.5449742446531167,Trailing Stop,10.333888308531346,24
MandM.NS,2024-10-03 00:00:00+05:30,3104.905029296875,2024-10-16 00:00:00+05:30,3043.5478515625,28,87026.00134268148,85219.33984375,85134.12050390625,-1891.880838775236,-2.173925964178906,ROC Reversal,11.45395559418592,13
DIVISLAB.NS,2024-10-16 00:00:00+05:30,6095.89306640625,2024-10-22 00:00:00+05:30,5852.05734375,13,79331.74398378516,76076.74546875,76000.66872328125,-3331.0752605039015,-4.1989184823476835,Stop Loss,12.903324702159386,6
HDFCBANK.NS,2024-10-23 00:00:00+05:30,858.4561157226562,2024-11-13 00:00:00+05:30,838.5985546874999,88,75620.13885231703,73796.6728125,73722.87613968749,-1897.262712629541,-2.5089384143221634,Trailing Stop,6.285402472239111,21
CIPLA.NS,2024-11-13 00:00:00+05:30,1492.67041015625,2024-11-14 00:00:00+05:30,1486.87060546875,49,73214.57297379593,72856.65966796875,72783.80300830078,-430.7699654951575,-0.5883664248773717,ROC Reversal,6.158997719327032,1
INFY.NS,2024-11-14 00:00:00+05:30,1838.6795654296875,2024-12-16 00:00:00+05:30,1952.5770263671875,39,71781.28685476612,76150.50402832031,76074.35352429199,4293.06666952587,5.98076024773972,Max Hold Period,6.106127662416212,32
BAJFINANCE.NS,2024-12-16 00:00:00+05:30,717.39404296875,2024-12-19 00:00:00+05:30,688.6982812499999,105,75402.44886524304,72313.31953124999,72241.00621171873,-3161.442653524311,-4.192758592196847,Stop Loss,8.386407132056242,3
