Ticker,Name,Best Holding Period (days),Initial Investment,Final Investment,Total Profit/Loss,Return %,Number of Trades,Winning Trades,Losing Trades,Win Rate %,Avg Days Held,Avg Profit per Trade,Data Points,Test Period
BAJFINANCE.NS,Bajaj Finance,13,100000,100350.37649257145,350.3764925714495,0.3503764925714495,40,21,19,52.5,7.025,8.759412314286237,927,2022-01-03 to 2025-10-01
DABUR.NS,Dabur India,5,100000,100284.05182457935,284.05182457935007,0.2840518245793501,36,26,10,72.22222222222221,4.472222222222222,7.890328460537502,927,2022-01-03 to 2025-10-01
COALINDIA.NS,Coal India,5,100000,100232.51788132696,232.51788132695947,0.23251788132695947,46,30,16,65.21739130434783,4.021739130434782,5.0547365505860755,926,2022-01-03 to 2025-10-01
ITC.NS,ITC Limited,6,100000,100215.45102608569,215.4510260856914,0.21545102608569144,38,26,12,68.42105263157895,5.131578947368421,5.6697638443603005,927,2022-01-03 to 2025-10-01
POWERGRID.NS,Power Grid Corporation,46,100000,100180.02887622474,180.02887622473645,0.18002887622473646,35,22,13,62.857142857142854,9.714285714285714,5.1436821778496125,925,2022-01-03 to 2025-10-01
NTPC.NS,NTPC,5,100000,100179.46544105186,179.46544105185603,0.17946544105185602,38,25,13,65.78947368421053,4.631578947368421,4.722774764522527,927,2022-01-03 to 2025-10-01
WIPRO.NS,Wipro,11,100000,100143.1484499296,143.1484499296057,0.1431484499296057,35,23,12,65.71428571428571,7.771428571428571,4.089955712274449,927,2022-01-03 to 2025-10-01
TATASTEEL.NS,Tata Steel,5,100000,100095.47637677618,95.47637677617604,0.09547637677617604,36,24,12,66.66666666666666,4.388888888888889,2.652121577116001,927,2022-01-03 to 2025-10-01
BPCL.NS,Bharat Petroleum,9,100000,100090.79379950186,90.7937995018583,0.0907937995018583,39,20,19,51.28205128205128,6.0256410256410255,2.32804614107329,927,2022-01-03 to 2025-10-01
IOC.NS,Indian Oil Corporation,9,100000,100082.99845329058,82.99845329058007,0.08299845329058007,41,26,15,63.41463414634146,6.439024390243903,2.024352519282441,927,2022-01-03 to 2025-10-01
ONGC.NS,Oil and Natural Gas Corporation,47,100000,100078.40283883944,78.4028388394363,0.0784028388394363,40,18,22,45.0,8.75,1.9600709709859074,926,2022-01-03 to 2025-10-01
