Date,Action,Ticker,Reason,Price,Shares,Value,RS,Rank,Return %
2022-07-26 00:00:00+05:30,BUY,ULTRACEMCO.NS,Rebalance,6257.16796875,3,18771.50390625,14.838272936213295,5.0,
2022-08-08 00:00:00+05:30,SELL,BAJAJFINSV.NS,Take Profit,1550.5126953125,15,23257.6904296875,,,16.65776397104799
2022-08-10 00:00:00+05:30,SELL,TITAN.NS,Rebalance,2410.574951171875,8,19284.599609375,,,6.1224557793320065
2022-08-10 00:00:00+05:30,SELL,ADANIENT.NS,Rebalance,2823.20556640625,7,19762.43896484375,,,10.450443841944931
2022-08-10 00:00:00+05:30,SELL,ULTRACEMCO.NS,Rebalance,6485.82373046875,3,19457.47119140625,,,3.654301160856143
2022-08-10 00:00:00+05:30,BUY,BAJAJFINSV.NS,Rebalance,1561.7493896484375,17,26549.739624023438,31.846017227984042,1.0,
2022-08-10 00:00:00+05:30,BUY,HINDALCO.NS,Rebalance,427.66510009765625,64,27370.56640625,26.866551270862683,2.0,
2022-08-10 00:00:00+05:30,BUY,BAJFINANCE.NS,Rebalance,704.9725341796875,38,26788.956298828125,21.721961922466505,4.0,
2022-08-18 00:00:00+05:30,SELL,INDUSINDBK.NS,Take Profit,1081.1058349609375,21,22703.222534179688,,,15.849323995712627
2022-08-25 00:00:00+05:30,SELL,BAJFINANCE.NS,Rebalance,694.89013671875,38,26405.8251953125,,,-1.4301830173666936
2022-08-25 00:00:00+05:30,BUY,ADANIENT.NS,Rebalance,3062.017822265625,9,27558.160400390625,19.793341138701155,2.0,
2022-08-25 00:00:00+05:30,BUY,EICHERMOT.NS,Rebalance,3362.11279296875,8,26896.90234375,15.920344070410057,3.0,
2022-09-09 00:00:00+05:30,SELL,HINDALCO.NS,Rebalance,417.7604064941406,64,26736.666015625,,,-2.315992958334433
2022-09-13 00:00:00+05:30,SELL,ADANIENT.NS,Take Profit,3550.7763671875,9,31956.9873046875,,,15.961975837235215
2022-09-14 00:00:00+05:30,SELL,BAJAJFINSV.NS,Take Profit,1802.38330078125,17,30640.51611328125,,,15.407972157874905
2022-09-23 00:00:00+05:30,SELL,EICHERMOT.NS,Rebalance,3562.017333984375,8,28496.138671875,,,5.9458011472336425
2022-09-23 00:00:00+05:30,BUY,ADANIENT.NS,Rebalance,3669.108642578125,6,22014.65185546875,19.826495322725,1.0,
2022-09-23 00:00:00+05:30,BUY,ADANIPORTS.NS,Rebalance,899.4439697265625,26,23385.543212890625,11.98528737337196,2.0,
2022-09-23 00:00:00+05:30,BUY,ITC.NS,Rebalance,314.417724609375,75,23581.329345703125,10.90122232202973,3.0,
2022-09-23 00:00:00+05:30,BUY,INDUSINDBK.NS,Rebalance,1157.6568603515625,20,23153.13720703125,8.569199445220695,4.0,
2022-09-23 00:00:00+05:30,BUY,TITAN.NS,Rebalance,2647.164794921875,9,23824.483154296875,8.352077721633718,5.0,
2022-09-27 00:00:00+05:30,SELL,ADANIPORTS.NS,Stop Loss,830.9375,26,21604.375,,,-7.616535552224445
2022-10-03 00:00:00+05:30,SELL,ADANIENT.NS,Stop Loss,3152.83935546875,6,18917.0361328125,,,-14.07070047254351
2022-10-10 00:00:00+05:30,SELL,ITC.NS,Rebalance,297.5804138183594,75,22318.531036376953,,,-5.355076852595983
2022-10-10 00:00:00+05:30,SELL,TITAN.NS,Rebalance,2654.74267578125,9,23892.68408203125,,,0.2862640389412796
2022-10-10 00:00:00+05:30,BUY,SUNPHARMA.NS,Rebalance,918.8649291992188,30,27565.947875976562,6.29774629205107,2.0,
2022-10-10 00:00:00+05:30,BUY,CIPLA.NS,Rebalance,1091.0665283203125,26,28367.729736328125,5.721437435040522,3.0,
2022-10-10 00:00:00+05:30,BUY,BRITANNIA.NS,Rebalance,3638.177001953125,7,25467.239013671875,4.064943849381957,4.0,
2022-10-24 00:00:00+05:30,SELL,INDUSINDBK.NS,Rebalance,1120.9710693359375,20,22419.42138671875,,,-3.168969344204818
2022-10-24 00:00:00+05:30,SELL,SUNPHARMA.NS,Rebalance,958.6382446289062,30,28759.147338867188,,,4.328526877649964
2022-10-24 00:00:00+05:30,SELL,CIPLA.NS,Rebalance,1118.4200439453125,26,29078.921142578125,,,2.507043788348131
2022-10-24 00:00:00+05:30,SELL,BRITANNIA.NS,Rebalance,3633.24365234375,7,25432.70556640625,,,-0.1355994941072568
2022-10-24 00:00:00+05:30,BUY,AXISBANK.NS,Rebalance,907.0470581054688,25,22676.17645263672,18.32552647524139,1.0,
2022-10-24 00:00:00+05:30,BUY,HCLTECH.NS,Rebalance,928.5536499023438,24,22285.28759765625,16.305673973519923,2.0,
2022-10-24 00:00:00+05:30,BUY,NESTLEIND.NS,Rebalance,991.6687622070312,23,22808.38153076172,12.863107808348278,3.0,
2022-10-24 00:00:00+05:30,BUY,INFY.NS,Rebalance,1406.085693359375,16,22497.37109375,11.161150196841922,4.0,
2022-10-24 00:00:00+05:30,BUY,POWERGRID.NS,Rebalance,142.61175537109375,160,22817.880859375,8.04741450816436,5.0,
2022-11-09 00:00:00+05:30,SELL,HCLTECH.NS,Rebalance,948.2208862304688,24,22757.30126953125,,,2.118050618851523
2022-11-09 00:00:00+05:30,SELL,NESTLEIND.NS,Rebalance,976.8554077148438,23,22467.674377441406,,,-1.4937804896888451
2022-11-09 00:00:00+05:30,SELL,INFY.NS,Rebalance,1415.224365234375,16,22643.58984375,,,0.6499370499365638
2022-11-09 00:00:00+05:30,SELL,POWERGRID.NS,Rebalance,142.5465850830078,160,22807.45361328125,,,-0.045697697161328814
2022-11-09 00:00:00+05:30,BUY,ADANIENT.NS,Rebalance,3991.552734375,7,27940.869140625,23.13284963067074,1.0,
2022-11-09 00:00:00+05:30,BUY,SBIN.NS,Rebalance,582.1678466796875,48,27944.056640625,15.977396766368706,2.0,
2022-11-09 00:00:00+05:30,BUY,ULTRACEMCO.NS,Rebalance,6788.54833984375,4,27154.193359375,12.253868950153054,4.0,
2022-11-10 00:00:00+05:30,SELL,AXISBANK.NS,Stop Loss,841.4708251953125,25,21036.770629882812,,,-7.229639556642632
2022-11-23 00:00:00+05:30,SELL,SBIN.NS,Rebalance,574.6962890625,48,27585.421875,,,-1.2834026578074482
2022-11-23 00:00:00+05:30,SELL,ULTRACEMCO.NS,Rebalance,6710.4208984375,4,26841.68359375,,,-1.1508711066797566
2022-11-23 00:00:00+05:30,BUY,JSWSTEEL.NS,Rebalance,710.03857421875,39,27691.50439453125,15.834734891229116,2.0,
2022-11-23 00:00:00+05:30,BUY,BRITANNIA.NS,Rebalance,3980.454833984375,6,23882.72900390625,9.556506936071969,3.0,
2022-11-23 00:00:00+05:30,BUY,HINDALCO.NS,Rebalance,424.96826171875,65,27622.93701171875,9.55632135039761,4.0,
2022-12-07 00:00:00+05:30,SELL,ADANIENT.NS,Rebalance,3993.6494140625,7,27955.5458984375,,,0.052527921513939355
2022-12-07 00:00:00+05:30,SELL,JSWSTEEL.NS,Rebalance,727.3819580078125,39,28367.896362304688,,,2.442597405098067
2022-12-07 00:00:00+05:30,SELL,BRITANNIA.NS,Rebalance,4208.83154296875,6,25252.9892578125,,,5.7374525904561855
2022-12-07 00:00:00+05:30,BUY,IOC.NS,Rebalance,66.47711181640625,434,28851.066528320312,10.280371584346742,2.0,
2022-12-07 00:00:00+05:30,BUY,HDFCLIFE.NS,Rebalance,576.32958984375,50,28816.4794921875,9.412318842678825,3.0,
2022-12-21 00:00:00+05:30,SELL,HINDALCO.NS,Rebalance,448.3079223632813,65,29140.014953613285,,,5.492094997903119
2022-12-21 00:00:00+05:30,SELL,HDFCLIFE.NS,Rebalance,569.98974609375,50,28499.4873046875,,,-1.1000378709895513
2022-12-21 00:00:00+05:30,BUY,BPCL.NS,Rebalance,147.6727294921875,193,28500.836791992188,7.7220815975389465,2.0,
2022-12-21 00:00:00+05:30,BUY,DIVISLAB.NS,Rebalance,3453.547607421875,8,27628.380859375,6.630394356034697,3.0,
2022-12-21 00:00:00+05:30,BUY,AXISBANK.NS,Rebalance,929.8367309570312,30,27895.101928710938,6.585115180484173,4.0,
2023-01-04 00:00:00+05:30,SELL,IOC.NS,Rebalance,67.69052124023438,434,29377.68621826172,,,1.8253040643210692
2023-01-04 00:00:00+05:30,SELL,BPCL.NS,Rebalance,148.64511108398438,193,28688.506439208984,,,0.6584706567967366
2023-01-04 00:00:00+05:30,BUY,INDUSINDBK.NS,Rebalance,1196.5438232421875,24,28717.0517578125,5.018673808701644,1.0,
2023-01-04 00:00:00+05:30,BUY,TATASTEEL.NS,Rebalance,107.37371826171876,268,28776.15649414063,4.091722268785384,3.0,
2023-01-18 00:00:00+05:30,SELL,DIVISLAB.NS,Rebalance,3325.711181640625,8,26605.689453125,,,-3.7015973228955086
2023-01-18 00:00:00+05:30,SELL,AXISBANK.NS,Rebalance,921.55859375,30,27646.7578125,,,-0.8902785759507484
2023-01-18 00:00:00+05:30,SELL,INDUSINDBK.NS,Rebalance,1196.4459228515625,24,28714.7021484375,,,-0.008181931052030042
2023-01-18 00:00:00+05:30,BUY,HINDALCO.NS,Rebalance,493.2220764160156,58,28606.880432128906,10.018594767624615,2.0,
2023-01-18 00:00:00+05:30,BUY,IOC.NS,Rebalance,71.20071411132812,405,28836.28921508789,7.526170590680624,3.0,
2023-02-02 00:00:00+05:30,SELL,HINDALCO.NS,Stop Loss,456.3983459472656,58,26471.104064941406,,,-7.465953417237242
2023-02-02 00:00:00+05:30,SELL,TATASTEEL.NS,Rebalance,111.26979064941406,268,29820.30389404297,,,3.6285158517085083
2023-02-02 00:00:00+05:30,SELL,IOC.NS,Rebalance,68.0805435180664,405,27572.620124816895,,,-4.382218117058597
2023-02-02 00:00:00+05:30,BUY,ITC.NS,Rebalance,343.6447448730469,64,21993.263671875,15.779810325758215,1.0,
2023-02-02 00:00:00+05:30,BUY,TATAMOTORS.NS,Rebalance,438.2855224609375,50,21914.276123046875,15.352691496404178,2.0,
2023-02-02 00:00:00+05:30,BUY,HCLTECH.NS,Rebalance,1044.129638671875,21,21926.722412109375,11.904514887593875,3.0,
2023-02-02 00:00:00+05:30,BUY,MandM.NS,Rebalance,1318.0567626953125,16,21088.908203125,9.399770045626125,4.0,
2023-02-02 00:00:00+05:30,BUY,BRITANNIA.NS,Rebalance,4380.78515625,5,21903.92578125,7.982291663281632,5.0,
2023-02-16 00:00:00+05:30,SELL,HCLTECH.NS,Rebalance,1024.647705078125,21,21517.601806640625,,,-1.8658539009131923
2023-02-16 00:00:00+05:30,SELL,MandM.NS,Rebalance,1333.40673828125,16,21334.5078125,,,1.1645913909313073
2023-02-16 00:00:00+05:30,SELL,BRITANNIA.NS,Rebalance,4379.779296875,5,21898.896484375,,,-0.022960709989736785
2023-02-16 00:00:00+05:30,BUY,BAJAJ-AUTO.NS,Rebalance,3667.136474609375,7,25669.955322265625,8.219073761869767,2.0,
2023-02-16 00:00:00+05:30,BUY,TECHM.NS,Rebalance,1041.267333984375,26,27072.95068359375,7.812276051010382,4.0,
2023-03-02 00:00:00+05:30,SELL,ITC.NS,Rebalance,346.2522277832031,64,22160.142578125,,,0.7587728167120774
2023-03-02 00:00:00+05:30,SELL,TATAMOTORS.NS,Rebalance,414.2921752929687,50,20714.608764648434,,,-5.474364526860964
2023-03-02 00:00:00+05:30,SELL,BAJAJ-AUTO.NS,Rebalance,3487.515380859375,7,24412.607666015625,,,-4.898129507687147
2023-03-02 00:00:00+05:30,BUY,ADANIPORTS.NS,Rebalance,613.1141357421875,44,26977.02197265625,34.695648069631744,1.0,
2023-03-02 00:00:00+05:30,BUY,ONGC.NS,Rebalance,138.8668975830078,194,26940.178131103516,10.240700208215921,2.0,
2023-03-02 00:00:00+05:30,BUY,BAJFINANCE.NS,Rebalance,599.8192749023438,45,26991.86737060547,6.389861857414507,4.0,
2023-03-17 00:00:00+05:30,SELL,TECHM.NS,Rebalance,1038.411376953125,26,26998.69580078125,,,-0.27427702166760337
2023-03-17 00:00:00+05:30,SELL,ONGC.NS,Rebalance,138.0555877685547,194,26782.78402709961,,,-0.5842355727491959
2023-03-17 00:00:00+05:30,SELL,BAJFINANCE.NS,Rebalance,565.2431030273438,45,25435.93963623047,,,-5.764431608275563
2023-03-17 00:00:00+05:30,BUY,BPCL.NS,Rebalance,155.31935119628906,175,27180.886459350586,7.890693754884305,2.0,
2023-03-17 00:00:00+05:30,BUY,POWERGRID.NS,Rebalance,156.87933349609375,173,27140.12469482422,7.036340166554629,3.0,
2023-04-03 00:00:00+05:30,SELL,ADANIPORTS.NS,Rebalance,617.9371337890625,44,27189.23388671875,,,0.7866395122397007
2023-04-03 00:00:00+05:30,SELL,BPCL.NS,Rebalance,145.83840942382812,175,25521.721649169922,,,-6.104160041512882
2023-04-03 00:00:00+05:30,SELL,POWERGRID.NS,Rebalance,153.3961639404297,173,26537.536361694336,,,-2.220285794209339
2023-04-03 00:00:00+05:30,BUY,TITAN.NS,Rebalance,2513.392822265625,8,20107.142578125,7.564810657705003,1.0,
2023-04-03 00:00:00+05:30,BUY,BAJAJ-AUTO.NS,Rebalance,3748.9443359375,5,18744.7216796875,7.496137694845236,2.0,
2023-04-03 00:00:00+05:30,BUY,ADANIENT.NS,Rebalance,1715.0234375,12,20580.28125,6.856432569269718,3.0,
2023-04-03 00:00:00+05:30,BUY,NESTLEIND.NS,Rebalance,947.3165283203124,22,20840.96362304687,6.621125222461735,4.0,
2023-04-03 00:00:00+05:30,BUY,DRREDDY.NS,Rebalance,912.84423828125,22,20082.5732421875,6.056124643268812,5.0,
2023-04-20 00:00:00+05:30,SELL,TITAN.NS,Rebalance,2554.846923828125,8,20438.775390625,,,1.64932839766497
2023-04-20 00:00:00+05:30,SELL,ADANIENT.NS,Rebalance,1840.2962646484375,12,22083.55517578125,,,7.304438202375149
2023-04-20 00:00:00+05:30,SELL,NESTLEIND.NS,Rebalance,984.2203979492188,22,21652.848754882812,,,3.895621846094108
2023-04-20 00:00:00+05:30,SELL,DRREDDY.NS,Rebalance,952.3848266601562,22,20952.466186523438,,,4.33158108697222
2023-04-20 00:00:00+05:30,BUY,DIVISLAB.NS,Rebalance,3143.746826171875,8,25149.974609375,14.74476330794388,1.0,
2023-04-20 00:00:00+05:30,BUY,TATAMOTORS.NS,Rebalance,469.8168640136719,58,27249.37811279297,13.794746697171673,2.0,
2023-04-20 00:00:00+05:30,BUY,HDFCLIFE.NS,Rebalance,525.2642822265625,52,27313.74267578125,12.519894780098708,4.0,
2023-05-05 00:00:00+05:30,SELL,BAJAJ-AUTO.NS,Rebalance,4189.5244140625,5,20947.6220703125,,,11.752110424835742
2023-05-05 00:00:00+05:30,SELL,HDFCLIFE.NS,Rebalance,534.62548828125,52,27800.525390625,,,1.7821897226679744
2023-05-05 00:00:00+05:30,BUY,ITC.NS,Rebalance,395.302001953125,70,27671.14013671875,13.156515176676784,2.0,
2023-05-05 00:00:00+05:30,BUY,NESTLEIND.NS,Rebalance,1063.8790283203125,26,27660.854736328125,12.304493431216402,4.0,
2023-05-19 00:00:00+05:30,SELL,DIVISLAB.NS,Rebalance,3040.888671875,8,24327.109375,,,-3.271833260890314
